claim_id,section_id,section,domain,record_id,target_label,field,field_label,value_kind,baseline_value,current_value,proposed_value,current_status,current_verification_status,research_note,resolution_status,evidence_tier,confidence,estimate_rationale,source_1_title,source_1_url,source_1_publisher,source_1_published_date,source_1_accessed_date,source_1_excerpt,source_2_title,source_2_url,source_2_publisher,source_2_published_date,source_2_accessed_date,source_2_excerpt,source_3_title,source_3_url,source_3_publisher,source_3_published_date,source_3_accessed_date,source_3_excerpt
auto_claim__career_comp_profiles__CONSERVATIVE__growthRate,career-comp,Career Compensation,career_comp_profiles,CONSERVATIVE,Conservative Default,growthRate,Growth,percent,0.04,0.04,,record_level_placeholder,seed_default,Research and verify growth for Conservative Default.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__CONSERVATIVE__notes,career-comp,Career Compensation,career_comp_profiles,CONSERVATIVE,Conservative Default,notes,Notes,,Reference compensation profile used by path selectors.,Reference compensation profile used by path selectors.,,record_level_placeholder,seed_default,Research and verify notes for Conservative Default.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__CONSERVATIVE__label,career-comp,Career Compensation,career_comp_profiles,CONSERVATIVE,Conservative Default,label,Profile,,Conservative Default,Conservative Default,,record_level_placeholder,seed_default,Research and verify profile for Conservative Default.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__CONSERVATIVE__profileType,career-comp,Career Compensation,career_comp_profiles,CONSERVATIVE,Conservative Default,profileType,Track,,research_employer,research_employer,,record_level_placeholder,seed_default,Research and verify track for Conservative Default.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__STARTUP_TECH__annualRsu,career-comp,Career Compensation,career_comp_profiles,STARTUP_TECH,Funded Tech Startup,annualRsu,Annual RSU,currency,40000,40000,,record_level_placeholder,seed_default,Research and verify annual rsu for Funded Tech Startup.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__STARTUP_TECH__baseSalary,career-comp,Career Compensation,career_comp_profiles,STARTUP_TECH,Funded Tech Startup,baseSalary,Base Salary,currency,140000,140000,,record_level_placeholder,seed_default,Research and verify base salary for Funded Tech Startup.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__STARTUP_TECH__bonusPct,career-comp,Career Compensation,career_comp_profiles,STARTUP_TECH,Funded Tech Startup,bonusPct,Bonus,percent,0.05,0.05,,record_level_placeholder,seed_default,Research and verify bonus for Funded Tech Startup.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__STARTUP_TECH__growthRate,career-comp,Career Compensation,career_comp_profiles,STARTUP_TECH,Funded Tech Startup,growthRate,Growth,percent,0.05,0.05,,record_level_placeholder,seed_default,Research and verify growth for Funded Tech Startup.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__STARTUP_TECH__notes,career-comp,Career Compensation,career_comp_profiles,STARTUP_TECH,Funded Tech Startup,notes,Notes,,Reference compensation profile used by path selectors.,Reference compensation profile used by path selectors.,,record_level_placeholder,seed_default,Research and verify notes for Funded Tech Startup.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__STARTUP_TECH__label,career-comp,Career Compensation,career_comp_profiles,STARTUP_TECH,Funded Tech Startup,label,Profile,,Funded Tech Startup,Funded Tech Startup,,record_level_placeholder,seed_default,Research and verify profile for Funded Tech Startup.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__STARTUP_TECH__profileType,career-comp,Career Compensation,career_comp_profiles,STARTUP_TECH,Funded Tech Startup,profileType,Track,,tech_company,tech_company,,record_level_placeholder,seed_default,Research and verify track for Funded Tech Startup.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GENERIC_IC__annualRsu,career-comp,Career Compensation,career_comp_profiles,GENERIC_IC,Generic Big Tech IC,annualRsu,Annual RSU,currency,20000,20000,,record_level_placeholder,seed_default,Research and verify annual rsu for Generic Big Tech IC.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GENERIC_IC__baseSalary,career-comp,Career Compensation,career_comp_profiles,GENERIC_IC,Generic Big Tech IC,baseSalary,Base Salary,currency,117638,117638,,record_level_placeholder,seed_default,Research and verify base salary for Generic Big Tech IC.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GENERIC_IC__bonusPct,career-comp,Career Compensation,career_comp_profiles,GENERIC_IC,Generic Big Tech IC,bonusPct,Bonus,percent,0.1,0.1,,record_level_placeholder,seed_default,Research and verify bonus for Generic Big Tech IC.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GENERIC_IC__growthRate,career-comp,Career Compensation,career_comp_profiles,GENERIC_IC,Generic Big Tech IC,growthRate,Growth,percent,0.04,0.04,,record_level_placeholder,seed_default,Research and verify growth for Generic Big Tech IC.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GENERIC_IC__notes,career-comp,Career Compensation,career_comp_profiles,GENERIC_IC,Generic Big Tech IC,notes,Notes,,Reference compensation profile used by path selectors.,Reference compensation profile used by path selectors.,,record_level_placeholder,seed_default,Research and verify notes for Generic Big Tech IC.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GENERIC_IC__label,career-comp,Career Compensation,career_comp_profiles,GENERIC_IC,Generic Big Tech IC,label,Profile,,Generic Big Tech IC,Generic Big Tech IC,,record_level_placeholder,seed_default,Research and verify profile for Generic Big Tech IC.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GENERIC_IC__profileType,career-comp,Career Compensation,career_comp_profiles,GENERIC_IC,Generic Big Tech IC,profileType,Track,,tech_company,tech_company,,record_level_placeholder,seed_default,Research and verify track for Generic Big Tech IC.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__DEEPMIND__annualRsu,career-comp,Career Compensation,career_comp_profiles,DEEPMIND,Google DeepMind,annualRsu,Annual RSU,currency,120000,120000,,record_level_placeholder,seed_default,Research and verify annual rsu for Google DeepMind.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__DEEPMIND__baseSalary,career-comp,Career Compensation,career_comp_profiles,DEEPMIND,Google DeepMind,baseSalary,Base Salary,currency,230000,230000,,record_level_placeholder,seed_default,Research and verify base salary for Google DeepMind.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__DEEPMIND__bonusPct,career-comp,Career Compensation,career_comp_profiles,DEEPMIND,Google DeepMind,bonusPct,Bonus,percent,0.15,0.15,,record_level_placeholder,seed_default,Research and verify bonus for Google DeepMind.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__DEEPMIND__growthRate,career-comp,Career Compensation,career_comp_profiles,DEEPMIND,Google DeepMind,growthRate,Growth,percent,0.04,0.04,,record_level_placeholder,seed_default,Research and verify growth for Google DeepMind.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__DEEPMIND__notes,career-comp,Career Compensation,career_comp_profiles,DEEPMIND,Google DeepMind,notes,Notes,,Reference compensation profile used by path selectors.,Reference compensation profile used by path selectors.,,record_level_placeholder,seed_default,Research and verify notes for Google DeepMind.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__DEEPMIND__label,career-comp,Career Compensation,career_comp_profiles,DEEPMIND,Google DeepMind,label,Profile,,Google DeepMind,Google DeepMind,,record_level_placeholder,seed_default,Research and verify profile for Google DeepMind.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__DEEPMIND__profileType,career-comp,Career Compensation,career_comp_profiles,DEEPMIND,Google DeepMind,profileType,Track,,research_employer,research_employer,,record_level_placeholder,seed_default,Research and verify track for Google DeepMind.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GOOG_SWE__annualRsu,career-comp,Career Compensation,career_comp_profiles,GOOG_SWE,Google SWE (L4-L5),annualRsu,Annual RSU,currency,110000,110000,,record_level_placeholder,seed_default,Research and verify annual rsu for Google SWE (L4-L5).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GOOG_SWE__baseSalary,career-comp,Career Compensation,career_comp_profiles,GOOG_SWE,Google SWE (L4-L5),baseSalary,Base Salary,currency,190000,190000,,record_level_placeholder,seed_default,Research and verify base salary for Google SWE (L4-L5).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GOOG_SWE__bonusPct,career-comp,Career Compensation,career_comp_profiles,GOOG_SWE,Google SWE (L4-L5),bonusPct,Bonus,percent,0.15,0.15,,record_level_placeholder,seed_default,Research and verify bonus for Google SWE (L4-L5).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GOOG_SWE__growthRate,career-comp,Career Compensation,career_comp_profiles,GOOG_SWE,Google SWE (L4-L5),growthRate,Growth,percent,0.04,0.04,,record_level_placeholder,seed_default,Research and verify growth for Google SWE (L4-L5).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GOOG_SWE__notes,career-comp,Career Compensation,career_comp_profiles,GOOG_SWE,Google SWE (L4-L5),notes,Notes,,Reference compensation profile used by path selectors.,Reference compensation profile used by path selectors.,,record_level_placeholder,seed_default,Research and verify notes for Google SWE (L4-L5).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GOOG_SWE__label,career-comp,Career Compensation,career_comp_profiles,GOOG_SWE,Google SWE (L4-L5),label,Profile,,Google SWE (L4-L5),Google SWE (L4-L5),,record_level_placeholder,seed_default,Research and verify profile for Google SWE (L4-L5).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__GOOG_SWE__profileType,career-comp,Career Compensation,career_comp_profiles,GOOG_SWE,Google SWE (L4-L5),profileType,Track,,tech_company,tech_company,,record_level_placeholder,seed_default,Research and verify track for Google SWE (L4-L5).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_IC__annualRsu,career-comp,Career Compensation,career_comp_profiles,INTEL_IC,Intel Grade 7-8,annualRsu,Annual RSU,currency,40000,40000,,record_level_placeholder,seed_default,Research and verify annual rsu for Intel Grade 7-8.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_IC__baseSalary,career-comp,Career Compensation,career_comp_profiles,INTEL_IC,Intel Grade 7-8,baseSalary,Base Salary,currency,155000,155000,,record_level_placeholder,seed_default,Research and verify base salary for Intel Grade 7-8.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_IC__bonusPct,career-comp,Career Compensation,career_comp_profiles,INTEL_IC,Intel Grade 7-8,bonusPct,Bonus,percent,0.1,0.1,,record_level_placeholder,seed_default,Research and verify bonus for Intel Grade 7-8.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_IC__growthRate,career-comp,Career Compensation,career_comp_profiles,INTEL_IC,Intel Grade 7-8,growthRate,Growth,percent,0.03,0.03,,record_level_placeholder,seed_default,Research and verify growth for Intel Grade 7-8.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_IC__notes,career-comp,Career Compensation,career_comp_profiles,INTEL_IC,Intel Grade 7-8,notes,Notes,,Reference compensation profile used by path selectors.,Reference compensation profile used by path selectors.,,record_level_placeholder,seed_default,Research and verify notes for Intel Grade 7-8.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_IC__label,career-comp,Career Compensation,career_comp_profiles,INTEL_IC,Intel Grade 7-8,label,Profile,,Intel Grade 7-8,Intel Grade 7-8,,record_level_placeholder,seed_default,Research and verify profile for Intel Grade 7-8.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_IC__profileType,career-comp,Career Compensation,career_comp_profiles,INTEL_IC,Intel Grade 7-8,profileType,Track,,tech_company,tech_company,,record_level_placeholder,seed_default,Research and verify track for Intel Grade 7-8.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_LABS__annualRsu,career-comp,Career Compensation,career_comp_profiles,INTEL_LABS,Intel Labs,annualRsu,Annual RSU,currency,50000,50000,,record_level_placeholder,seed_default,Research and verify annual rsu for Intel Labs.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_LABS__baseSalary,career-comp,Career Compensation,career_comp_profiles,INTEL_LABS,Intel Labs,baseSalary,Base Salary,currency,190000,190000,,record_level_placeholder,seed_default,Research and verify base salary for Intel Labs.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_LABS__bonusPct,career-comp,Career Compensation,career_comp_profiles,INTEL_LABS,Intel Labs,bonusPct,Bonus,percent,0.1,0.1,,record_level_placeholder,seed_default,Research and verify bonus for Intel Labs.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_LABS__growthRate,career-comp,Career Compensation,career_comp_profiles,INTEL_LABS,Intel Labs,growthRate,Growth,percent,0.03,0.03,,record_level_placeholder,seed_default,Research and verify growth for Intel Labs.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_LABS__notes,career-comp,Career Compensation,career_comp_profiles,INTEL_LABS,Intel Labs,notes,Notes,,Reference compensation profile used by path selectors.,Reference compensation profile used by path selectors.,,record_level_placeholder,seed_default,Research and verify notes for Intel Labs.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_LABS__label,career-comp,Career Compensation,career_comp_profiles,INTEL_LABS,Intel Labs,label,Profile,,Intel Labs,Intel Labs,,record_level_placeholder,seed_default,Research and verify profile for Intel Labs.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__INTEL_LABS__profileType,career-comp,Career Compensation,career_comp_profiles,INTEL_LABS,Intel Labs,profileType,Track,,research_employer,research_employer,,record_level_placeholder,seed_default,Research and verify track for Intel Labs.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_RESEARCH__annualRsu,career-comp,Career Compensation,career_comp_profiles,MSFT_RESEARCH,Microsoft Research,annualRsu,Annual RSU,currency,80000,80000,,record_level_placeholder,seed_default,Research and verify annual rsu for Microsoft Research.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_RESEARCH__baseSalary,career-comp,Career Compensation,career_comp_profiles,MSFT_RESEARCH,Microsoft Research,baseSalary,Base Salary,currency,200000,200000,,record_level_placeholder,seed_default,Research and verify base salary for Microsoft Research.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_RESEARCH__bonusPct,career-comp,Career Compensation,career_comp_profiles,MSFT_RESEARCH,Microsoft Research,bonusPct,Bonus,percent,0.15,0.15,,record_level_placeholder,seed_default,Research and verify bonus for Microsoft Research.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_RESEARCH__growthRate,career-comp,Career Compensation,career_comp_profiles,MSFT_RESEARCH,Microsoft Research,growthRate,Growth,percent,0.04,0.04,,record_level_placeholder,seed_default,Research and verify growth for Microsoft Research.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_RESEARCH__notes,career-comp,Career Compensation,career_comp_profiles,MSFT_RESEARCH,Microsoft Research,notes,Notes,,Reference compensation profile used by path selectors.,Reference compensation profile used by path selectors.,,record_level_placeholder,seed_default,Research and verify notes for Microsoft Research.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_RESEARCH__label,career-comp,Career Compensation,career_comp_profiles,MSFT_RESEARCH,Microsoft Research,label,Profile,,Microsoft Research,Microsoft Research,,record_level_placeholder,seed_default,Research and verify profile for Microsoft Research.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_RESEARCH__profileType,career-comp,Career Compensation,career_comp_profiles,MSFT_RESEARCH,Microsoft Research,profileType,Track,,research_employer,research_employer,,record_level_placeholder,seed_default,Research and verify track for Microsoft Research.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_SWE__annualRsu,career-comp,Career Compensation,career_comp_profiles,MSFT_SWE,Microsoft SWE (L62-63),annualRsu,Annual RSU,currency,90000,90000,,record_level_placeholder,seed_default,Research and verify annual rsu for Microsoft SWE (L62-63).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_SWE__baseSalary,career-comp,Career Compensation,career_comp_profiles,MSFT_SWE,Microsoft SWE (L62-63),baseSalary,Base Salary,currency,175000,175000,,record_level_placeholder,seed_default,Research and verify base salary for Microsoft SWE (L62-63).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_SWE__bonusPct,career-comp,Career Compensation,career_comp_profiles,MSFT_SWE,Microsoft SWE (L62-63),bonusPct,Bonus,percent,0.15,0.15,,record_level_placeholder,seed_default,Research and verify bonus for Microsoft SWE (L62-63).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_SWE__growthRate,career-comp,Career Compensation,career_comp_profiles,MSFT_SWE,Microsoft SWE (L62-63),growthRate,Growth,percent,0.04,0.04,,record_level_placeholder,seed_default,Research and verify growth for Microsoft SWE (L62-63).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_SWE__notes,career-comp,Career Compensation,career_comp_profiles,MSFT_SWE,Microsoft SWE (L62-63),notes,Notes,,Reference compensation profile used by path selectors.,Reference compensation profile used by path selectors.,,record_level_placeholder,seed_default,Research and verify notes for Microsoft SWE (L62-63).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_SWE__label,career-comp,Career Compensation,career_comp_profiles,MSFT_SWE,Microsoft SWE (L62-63),label,Profile,,Microsoft SWE (L62-63),Microsoft SWE (L62-63),,record_level_placeholder,seed_default,Research and verify profile for Microsoft SWE (L62-63).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__MSFT_SWE__profileType,career-comp,Career Compensation,career_comp_profiles,MSFT_SWE,Microsoft SWE (L62-63),profileType,Track,,tech_company,tech_company,,record_level_placeholder,seed_default,Research and verify track for Microsoft SWE (L62-63).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__NVDA_IC__annualRsu,career-comp,Career Compensation,career_comp_profiles,NVDA_IC,NVIDIA IC (IC4-5),annualRsu,Annual RSU,currency,150000,150000,,record_level_placeholder,seed_default,Research and verify annual rsu for NVIDIA IC (IC4-5).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__NVDA_IC__baseSalary,career-comp,Career Compensation,career_comp_profiles,NVDA_IC,NVIDIA IC (IC4-5),baseSalary,Base Salary,currency,195000,195000,,record_level_placeholder,seed_default,Research and verify base salary for NVIDIA IC (IC4-5).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__NVDA_IC__bonusPct,career-comp,Career Compensation,career_comp_profiles,NVDA_IC,NVIDIA IC (IC4-5),bonusPct,Bonus,percent,0.15,0.15,,record_level_placeholder,seed_default,Research and verify bonus for NVIDIA IC (IC4-5).,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
